,uri,start,end,ms,text_uri
1,AnonymousPlural,798,809,362,0852IbnHajarCasqalani.FathBari
0,0487Bakri,785,796,844,0852IbnHajarCasqalani.FathBari
1,0487Bakri,1052,1063,844,0852IbnHajarCasqalani.FathBari
0,Anonymous,21,30,1584,0852IbnHajarCasqalani.FathBari
1,0458Bayhaqi,211,224,1584,0852IbnHajarCasqalani.FathBari
0,Anonymous,867,876,1591,0852IbnHajarCasqalani.FathBari
1,AnonymousPlural,867,878,1591,0852IbnHajarCasqalani.FathBari
0,Anonymous,213,222,1657,0852IbnHajarCasqalani.FathBari
1,AnonymousPlural,213,224,1657,0852IbnHajarCasqalani.FathBari
0,0487Bakri,586,597,1846,0852IbnHajarCasqalani.FathBari
1,0626YaqutHamawi,688,699,1846,0852IbnHajarCasqalani.FathBari
0,Anonymous,942,951,1852,0852IbnHajarCasqalani.FathBari
1,AnonymousPlural,942,953,1852,0852IbnHajarCasqalani.FathBari
0,Anonymous,1323,1332,2169,0852IbnHajarCasqalani.FathBari
1,AnonymousPlural,1323,1334,2169,0852IbnHajarCasqalani.FathBari
0,Anonymous,28,37,2236,0852IbnHajarCasqalani.FathBari
1,AnonymousPlural,28,39,2236,0852IbnHajarCasqalani.FathBari
0,Anonymous,1313,1322,2540,0852IbnHajarCasqalani.FathBari
1,AnonymousPlural,1313,1324,2540,0852IbnHajarCasqalani.FathBari
0,Anonymous,852,861,2571,0852IbnHajarCasqalani.FathBari
1,Anonymous,1075,1084,2571,0852IbnHajarCasqalani.FathBari
0,Anonymous,631,639,2599,0852IbnHajarCasqalani.FathBari
1,Anonymous,657,665,2599,0852IbnHajarCasqalani.FathBari
0,Anonymous,1281,1290,2648,0852IbnHajarCasqalani.FathBari
1,AnonymousPlural,1281,1292,2648,0852IbnHajarCasqalani.FathBari
0,Anonymous,1258,1267,2657,0852IbnHajarCasqalani.FathBari
1,0458Bayhaqi,672,684,2657,0852IbnHajarCasqalani.FathBari
2,0458Bayhaqi,1020,1032,2657,0852IbnHajarCasqalani.FathBari
0,Anonymous,267,276,2721,0852IbnHajarCasqalani.FathBari
1,AnonymousPlural,267,278,2721,0852IbnHajarCasqalani.FathBari
0,Anonymous,161,170,2732,0852IbnHajarCasqalani.FathBari
1,AnonymousPlural,161,172,2732,0852IbnHajarCasqalani.FathBari
0,Anonymous,122,131,2878,0852IbnHajarCasqalani.FathBari
1,AnonymousPlural,122,133,2878,0852IbnHajarCasqalani.FathBari
0,0458Bayhaqi,327,339,2917,0852IbnHajarCasqalani.FathBari
1,0458Bayhaqi,590,602,2917,0852IbnHajarCasqalani.FathBari
0,Anonymous,1271,1280,2938,0852IbnHajarCasqalani.FathBari
1,Anonymous,1296,1305,2938,0852IbnHajarCasqalani.FathBari
2,AnonymousPlural,1271,1282,2938,0852IbnHajarCasqalani.FathBari
3,AnonymousPlural,1296,1307,2938,0852IbnHajarCasqalani.FathBari
0,Anonymous,151,160,2987,0852IbnHajarCasqalani.FathBari
1,AnonymousPlural,151,162,2987,0852IbnHajarCasqalani.FathBari
0,Anonymous,878,887,3016,0852IbnHajarCasqalani.FathBari
1,AnonymousPlural,878,889,3016,0852IbnHajarCasqalani.FathBari
0,Anonymous,882,891,3149,0852IbnHajarCasqalani.FathBari
1,Anonymous,986,995,3149,0852IbnHajarCasqalani.FathBari
2,Anonymous,1073,1082,3149,0852IbnHajarCasqalani.FathBari
3,AnonymousPlural,882,893,3149,0852IbnHajarCasqalani.FathBari
4,AnonymousPlural,986,997,3149,0852IbnHajarCasqalani.FathBari
5,AnonymousPlural,1073,1084,3149,0852IbnHajarCasqalani.FathBari
0,Anonymous,345,354,3151,0852IbnHajarCasqalani.FathBari
1,Anonymous,685,694,3151,0852IbnHajarCasqalani.FathBari
2,AnonymousPlural,345,356,3151,0852IbnHajarCasqalani.FathBari
3,AnonymousPlural,685,696,3151,0852IbnHajarCasqalani.FathBari
0,Anonymous,566,575,3339,0852IbnHajarCasqalani.FathBari
1,AnonymousPlural,566,577,3339,0852IbnHajarCasqalani.FathBari
0,0458Bayhaqi,899,911,3485,0852IbnHajarCasqalani.FathBari
1,0458Bayhaqi,997,1009,3485,0852IbnHajarCasqalani.FathBari
0,Anonymous,1464,1473,3613,0852IbnHajarCasqalani.FathBari
1,AnonymousPlural,1464,1475,3613,0852IbnHajarCasqalani.FathBari
0,Anonymous,1152,1161,3617,0852IbnHajarCasqalani.FathBari
1,AnonymousPlural,1152,1163,3617,0852IbnHajarCasqalani.FathBari
0,Anonymous,149,158,3693,0852IbnHajarCasqalani.FathBari
1,AnonymousPlural,149,160,3693,0852IbnHajarCasqalani.FathBari
0,Anonymous,50,58,3726,0852IbnHajarCasqalani.FathBari
1,0458Bayhaqi,231,243,3726,0852IbnHajarCasqalani.FathBari
0,Anonymous,974,983,3754,0852IbnHajarCasqalani.FathBari
1,AnonymousPlural,974,985,3754,0852IbnHajarCasqalani.FathBari
0,Anonymous,1472,1481,4165,0852IbnHajarCasqalani.FathBari
1,AnonymousPlural,1472,1483,4165,0852IbnHajarCasqalani.FathBari
0,Anonymous,587,596,4231,0852IbnHajarCasqalani.FathBari
1,AnonymousPlural,587,598,4231,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,320,334,4287,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,1528,1542,4287,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,694,709,4321,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,1045,1059,4321,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,1245,1259,4321,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,10,24,4324,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,296,310,4324,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,1152,1166,4326,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,1350,1364,4326,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,126,141,4358,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,327,342,4358,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,385,399,4375,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,529,543,4375,0852IbnHajarCasqalani.FathBari
0,Anonymous,232,241,4421,0852IbnHajarCasqalani.FathBari
1,AnonymousPlural,232,243,4421,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,1001,1016,4425,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,1441,1455,4425,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,251,265,4426,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,490,504,4426,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,615,629,4426,0852IbnHajarCasqalani.FathBari
0,Anonymous,168,176,4433,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,319,334,4433,0852IbnHajarCasqalani.FathBari
2,AnonymousPlural,168,178,4433,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,280,295,4434,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,642,656,4434,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,784,798,4434,0852IbnHajarCasqalani.FathBari
3,0209AbuCubayda,1013,1027,4434,0852IbnHajarCasqalani.FathBari
4,0209AbuCubayda,1291,1305,4434,0852IbnHajarCasqalani.FathBari
5,0209AbuCubayda,1505,1520,4434,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,769,783,4435,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,1225,1239,4435,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,1458,1472,4435,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,101,115,4436,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,668,682,4436,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,1049,1064,4436,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,16,30,4437,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,357,372,4437,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,638,653,4437,0852IbnHajarCasqalani.FathBari
3,0209AbuCubayda,1221,1236,4437,0852IbnHajarCasqalani.FathBari
4,0209AbuCubayda,1389,1404,4437,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,247,262,4442,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,382,397,4442,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,1066,1080,4442,0852IbnHajarCasqalani.FathBari
3,0209AbuCubayda,1166,1180,4442,0852IbnHajarCasqalani.FathBari
4,0209AbuCubayda,1348,1362,4442,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,772,786,4469,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,1202,1216,4469,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,1355,1369,4469,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,350,364,4471,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,646,660,4471,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,911,925,4473,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,1071,1085,4473,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,754,768,4474,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,1084,1098,4474,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,134,149,4475,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,435,449,4475,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,841,855,4477,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,987,1001,4477,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,1181,1195,4477,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,832,847,4478,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,1044,1059,4478,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,1206,1220,4478,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,19,33,4479,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,210,225,4479,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,452,467,4479,0852IbnHajarCasqalani.FathBari
3,0209AbuCubayda,1470,1485,4479,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,680,695,4494,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,1231,1246,4494,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,1326,1340,4494,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,1104,1119,4505,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,1185,1199,4505,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,1320,1334,4505,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,247,262,4506,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,385,399,4506,0852IbnHajarCasqalani.FathBari
0,0458Bayhaqi,19,31,4522,0852IbnHajarCasqalani.FathBari
1,0458Bayhaqi,595,607,4522,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,717,731,4545,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,1428,1442,4545,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,268,282,4546,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,538,552,4546,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,693,707,4546,0852IbnHajarCasqalani.FathBari
3,0209AbuCubayda,1150,1165,4546,0852IbnHajarCasqalani.FathBari
0,0262CumarIbnShabba,265,281,4931,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,422,437,4931,0852IbnHajarCasqalani.FathBari
0,Anonymous,610,619,5289,0852IbnHajarCasqalani.FathBari
1,AnonymousPlural,610,621,5289,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,1046,1060,5395,0852IbnHajarCasqalani.FathBari
1,0458Bayhaqi,346,359,5395,0852IbnHajarCasqalani.FathBari
0,0458Bayhaqi,768,780,5405,0852IbnHajarCasqalani.FathBari
1,0458Bayhaqi,839,851,5405,0852IbnHajarCasqalani.FathBari
0,Anonymous,937,946,5408,0852IbnHajarCasqalani.FathBari
1,AnonymousPlural,937,948,5408,0852IbnHajarCasqalani.FathBari
0,Anonymous,1189,1198,5521,0852IbnHajarCasqalani.FathBari
1,AnonymousPlural,1189,1200,5521,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,829,844,5709,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,1206,1221,5709,0852IbnHajarCasqalani.FathBari
0,Anonymous,1020,1028,5752,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,389,404,5752,0852IbnHajarCasqalani.FathBari
0,Anonymous,1389,1398,5754,0852IbnHajarCasqalani.FathBari
1,AnonymousPlural,1389,1400,5754,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,521,536,5773,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,1113,1127,5773,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,1336,1350,5773,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,601,615,5774,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,749,763,5774,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,829,843,5774,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,419,433,5789,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,578,592,5789,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,926,940,5789,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,421,435,5790,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,1114,1128,5790,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,978,993,5799,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,1193,1207,5799,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,1368,1382,5799,0852IbnHajarCasqalani.FathBari
0,Anonymous,837,846,5808,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,739,753,5808,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,1015,1029,5808,0852IbnHajarCasqalani.FathBari
3,AnonymousPlural,837,848,5808,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,63,77,5809,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,1136,1151,5809,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,892,906,5814,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,1110,1124,5814,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,596,610,5815,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,882,896,5815,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,144,158,5816,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,455,470,5816,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,1042,1056,5816,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,590,604,5818,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,786,800,5818,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,1130,1144,5818,0852IbnHajarCasqalani.FathBari
3,0209AbuCubayda,1489,1504,5818,0852IbnHajarCasqalani.FathBari
0,Anonymous,1135,1144,5825,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,573,587,5825,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,985,999,5825,0852IbnHajarCasqalani.FathBari
3,AnonymousPlural,1135,1146,5825,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,595,609,5829,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,781,795,5829,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,1019,1033,5829,0852IbnHajarCasqalani.FathBari
3,0209AbuCubayda,1236,1250,5829,0852IbnHajarCasqalani.FathBari
4,0209AbuCubayda,1352,1366,5829,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,299,313,5830,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,714,729,5830,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,858,872,5830,0852IbnHajarCasqalani.FathBari
3,0209AbuCubayda,1174,1188,5830,0852IbnHajarCasqalani.FathBari
4,0209AbuCubayda,1430,1444,5830,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,185,199,5831,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,769,783,5831,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,1038,1052,5831,0852IbnHajarCasqalani.FathBari
3,0209AbuCubayda,1205,1219,5831,0852IbnHajarCasqalani.FathBari
4,0209AbuCubayda,1481,1495,5831,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,131,145,5832,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,613,627,5832,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,962,976,5832,0852IbnHajarCasqalani.FathBari
3,0209AbuCubayda,1067,1081,5832,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,1218,1232,5837,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,1298,1312,5837,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,1470,1484,5837,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,444,459,5838,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,611,625,5838,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,770,785,5838,0852IbnHajarCasqalani.FathBari
3,0209AbuCubayda,1048,1062,5838,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,512,526,5839,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,1437,1452,5839,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,520,534,5847,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,820,834,5847,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,1078,1092,5847,0852IbnHajarCasqalani.FathBari
3,0209AbuCubayda,1274,1288,5847,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,46,60,5848,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,1520,1534,5848,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,126,140,5849,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,368,382,5849,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,582,596,5849,0852IbnHajarCasqalani.FathBari
3,0209AbuCubayda,1286,1300,5849,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,618,632,5902,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,1413,1428,5902,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,79,93,5903,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,572,587,5903,0852IbnHajarCasqalani.FathBari
0,Anonymous,869,878,5907,0852IbnHajarCasqalani.FathBari
1,AnonymousPlural,869,880,5907,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,74,88,5911,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,648,662,5911,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,789,803,5911,0852IbnHajarCasqalani.FathBari
3,0209AbuCubayda,1463,1477,5911,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,715,729,5912,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,1096,1110,5912,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,1364,1378,5912,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,118,132,5913,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,223,237,5913,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,604,619,5913,0852IbnHajarCasqalani.FathBari
3,0209AbuCubayda,780,794,5913,0852IbnHajarCasqalani.FathBari
4,0209AbuCubayda,1249,1263,5913,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,356,370,5915,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,1357,1372,5915,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,202,216,5917,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,336,350,5917,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,532,546,5920,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,1350,1364,5920,0852IbnHajarCasqalani.FathBari
0,Anonymous,472,481,5922,0852IbnHajarCasqalani.FathBari
1,AnonymousPlural,472,483,5922,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,428,442,5929,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,716,730,5929,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,1265,1279,5929,0852IbnHajarCasqalani.FathBari
0,Anonymous,407,416,5930,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,144,158,5930,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,278,292,5930,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,130,144,5931,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,521,535,5931,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,838,852,5931,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,1012,1026,5935,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,1406,1420,5935,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,624,638,5936,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,803,817,5936,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,1326,1340,5936,0852IbnHajarCasqalani.FathBari
0,Anonymous,367,376,5942,0852IbnHajarCasqalani.FathBari
1,Anonymous,382,391,5942,0852IbnHajarCasqalani.FathBari
2,Anonymous,574,583,5942,0852IbnHajarCasqalani.FathBari
3,Anonymous,598,607,5942,0852IbnHajarCasqalani.FathBari
4,0209AbuCubayda,1138,1153,5942,0852IbnHajarCasqalani.FathBari
5,0209AbuCubayda,1459,1474,5942,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,228,243,5946,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,620,634,5946,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,1268,1282,5946,0852IbnHajarCasqalani.FathBari
3,0209AbuCubayda,1413,1427,5946,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,502,516,5947,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,769,783,5947,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,1074,1088,5947,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,1141,1155,5950,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,1498,1512,5950,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,380,394,5952,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,550,564,5952,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,975,989,5952,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,317,332,5953,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,371,385,5953,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,491,506,5953,0852IbnHajarCasqalani.FathBari
3,0209AbuCubayda,716,730,5953,0852IbnHajarCasqalani.FathBari
4,0209AbuCubayda,1224,1238,5953,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,584,598,5956,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,763,777,5956,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,1279,1293,5956,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,274,289,5957,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,376,390,5957,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,647,661,5957,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,8,22,5976,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,601,616,5976,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,858,872,5976,0852IbnHajarCasqalani.FathBari
3,0209AbuCubayda,1064,1078,5976,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,413,427,5977,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,673,687,5977,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,320,335,6010,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,1019,1034,6010,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,767,782,6013,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,893,907,6013,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,472,486,6014,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,847,861,6014,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,1243,1258,6014,0852IbnHajarCasqalani.FathBari
3,0209AbuCubayda,1401,1415,6014,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,112,126,6028,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,306,320,6028,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,861,876,6096,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,1037,1051,6096,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,1367,1381,6096,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,99,113,6097,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,503,517,6097,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,673,687,6097,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,256,270,6103,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,941,956,6103,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,441,456,6105,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,1028,1042,6105,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,347,361,6115,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,1464,1479,6115,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,529,544,6122,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,747,761,6122,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,910,924,6122,0852IbnHajarCasqalani.FathBari
3,0209AbuCubayda,1371,1386,6122,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,183,197,6123,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,496,511,6123,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,642,657,6123,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,55,70,6126,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,156,170,6126,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,358,373,6130,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,521,536,6130,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,954,968,6130,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,550,564,6147,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,1103,1117,6147,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,435,450,6158,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,905,919,6158,0852IbnHajarCasqalani.FathBari
2,0209AbuCubayda,1111,1125,6158,0852IbnHajarCasqalani.FathBari
3,0209AbuCubayda,1255,1269,6158,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,179,194,6160,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,344,358,6160,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,280,295,6164,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,1487,1501,6164,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,588,603,6165,0852IbnHajarCasqalani.FathBari
1,0209AbuCubayda,931,946,6165,0852IbnHajarCasqalani.FathBari
0,0209AbuCubayda,272,287,6168,0852IbnHajarCasqalani.FathBari
